dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ILI,48,CrossBranchPhaseGate,2031,1.790181,0.811192,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2031,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2032,1.867955,0.83142,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2032,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2033,1.788419,0.806996,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2033,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2034,1.894801,0.836893,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2034,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2035,1.814476,0.811,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2035,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2036,1.830293,0.817738,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2036,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2037,1.734144,0.792931,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2037,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2038,1.857237,0.817031,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2038,frwkv_crossbranchphasegate
ILI,48,CrossBranchPhaseGate,2039,1.815363,0.818333,parallel_run_20260503_131828,kbs_fullabl16_crossbranchphasegate_ili_pl48_seed2039,frwkv_crossbranchphasegate
ILI,48,FRWKV,2024,1.808977,0.81087,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2024,frwkv
ILI,48,FRWKV,2025,1.843124,0.813457,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2025,frwkv
ILI,48,FRWKV,2026,1.863147,0.825133,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2026,frwkv
ILI,48,FRWKV,2027,1.823626,0.818911,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2027,frwkv
ILI,48,FRWKV,2028,1.825322,0.810678,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2028,frwkv
ILI,48,FRWKV,2029,1.834102,0.818763,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2029,frwkv
ILI,48,FRWKV,2030,1.914806,0.830302,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2030,frwkv
ILI,48,FRWKV,2031,1.85397,0.818126,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2031,frwkv
ILI,48,FRWKV,2032,1.871639,0.827446,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2032,frwkv
