dataset,horizon,model,n,mse_mean,mse_std,mae_mean,mae_std,source
ETTm2,720,CrossBranchGate,16,0.394983688,0.003947021,0.390547375,0.002399723,parallel_run_20260503_131828
ETTm2,720,FRWKV,16,0.395355750,0.003581469,0.390505062,0.002116487,parallel_run_20260503_131828
Weather,96,Adaptive PhaseGate,16,0.159376500,0.001428990,0.195652750,0.001594749,parallel_run_20260509_134027
Weather,96,FullContextDelta,16,0.158902437,0.001630004,0.195451062,0.001692920,parallel_run_20260508_212616
Weather,96,CrossBranchPhaseGate,16,0.158825250,0.001049967,0.195417563,0.001075806,parallel_run_20260503_131828
Weather,96,CrossBranchGate,16,0.159178437,0.001321278,0.195778750,0.001347429,parallel_run_20260503_131828
Weather,96,FRWKV,16,0.158780750,0.001533452,0.195086938,0.001585235,parallel_run_20260503_131828
Weather,192,Adaptive PhaseGate,16,0.207244000,0.001259226,0.241702750,0.001444426,parallel_run_20260509_134027
Weather,192,FullContextDelta,16,0.207137375,0.001901741,0.241375438,0.001569346,parallel_run_20260508_212616
Weather,192,CrossBranchPhaseGate,16,0.206847250,0.001244035,0.241214750,0.000970530,parallel_run_20260503_131828
Weather,192,CrossBranchGate,16,0.207405250,0.001406787,0.241499313,0.001282609,parallel_run_20260503_131828
Weather,192,FRWKV,16,0.207207375,0.001375022,0.241506125,0.001418070,parallel_run_20260503_131828
Weather,336,Adaptive PhaseGate,16,0.264516562,0.001451333,0.284065000,0.001183358,parallel_run_20260509_134027
Weather,336,FullContextDelta,16,0.265039562,0.001368704,0.284458938,0.001066196,parallel_run_20260508_212616
Weather,336,CrossBranchPhaseGate,16,0.265629750,0.002022477,0.285191375,0.001500635,parallel_run_20260503_131828
Weather,336,CrossBranchGate,16,0.265621000,0.001436005,0.285126812,0.001135167,parallel_run_20260503_131828
Weather,336,FRWKV,16,0.264945938,0.001832317,0.284491188,0.001443032,parallel_run_20260503_131828
Weather,720,Adaptive PhaseGate,16,0.344554500,0.001982628,0.337539000,0.001485137,parallel_run_20260509_134027
Weather,720,FullContextDelta,16,0.345603000,0.002348826,0.338045188,0.001353918,parallel_run_20260508_212616
Weather,720,CrossBranchPhaseGate,16,0.344804375,0.002262443,0.337411250,0.001604649,parallel_run_20260503_131828
Weather,720,CrossBranchGate,16,0.344079937,0.001691261,0.336824875,0.001107299,parallel_run_20260503_131828
Weather,720,FRWKV,16,0.344610062,0.002169435,0.337500875,0.001466998,parallel_run_20260503_131828
Exchange,96,Adaptive PhaseGate,16,0.085215125,0.003124246,0.203775250,0.004365686,parallel_run_20260509_134027
Exchange,96,FullContextDelta,16,0.084474688,0.003442824,0.202637000,0.004368787,parallel_run_20260508_212616
Exchange,96,CrossBranchPhaseGate,16,0.084835187,0.003516904,0.202983438,0.004534245,parallel_run_20260503_131828
Exchange,96,CrossBranchGate,16,0.083772000,0.002257106,0.201821000,0.002764191,parallel_run_20260503_131828
Exchange,96,FRWKV,16,0.083812000,0.001329753,0.201724062,0.001835546,parallel_run_20260503_131828
Exchange,192,Adaptive PhaseGate,16,0.181380500,0.005197047,0.303106250,0.004886237,parallel_run_20260509_134027
Exchange,192,FullContextDelta,16,0.183495875,0.010815402,0.304545562,0.009492792,parallel_run_20260508_212616
Exchange,192,CrossBranchPhaseGate,16,0.187172875,0.008756415,0.308508125,0.007170929,parallel_run_20260503_131828
Exchange,192,CrossBranchGate,16,0.183615250,0.009872727,0.305383437,0.008888061,parallel_run_20260503_131828
Exchange,192,FRWKV,16,0.183545437,0.007466634,0.305163688,0.007186207,parallel_run_20260503_131828
Exchange,336,Adaptive PhaseGate,16,0.354617688,0.018491719,0.430134250,0.012336488,parallel_run_20260509_134027
Exchange,336,FullContextDelta,16,0.356056000,0.021083659,0.431138688,0.013717364,parallel_run_20260508_212616
Exchange,336,CrossBranchPhaseGate,16,0.349552250,0.015159892,0.427114500,0.010478703,parallel_run_20260503_131828
Exchange,336,CrossBranchGate,16,0.355223813,0.017278371,0.430670625,0.011371975,parallel_run_20260503_131828
Exchange,336,FRWKV,16,0.348120812,0.015408381,0.425912562,0.010779878,parallel_run_20260503_131828
Exchange,720,Adaptive PhaseGate,16,0.958786812,0.108593046,0.737159250,0.036655417,parallel_run_20260509_134027
Exchange,720,FullContextDelta,16,0.944582313,0.128438348,0.728859313,0.041139332,parallel_run_20260508_212616
Exchange,720,CrossBranchPhaseGate,16,0.977658563,0.149879604,0.738988750,0.047894632,parallel_run_20260503_131828
Exchange,720,CrossBranchGate,16,1.058883250,0.174568000,0.763611375,0.052603896,parallel_run_20260503_131828
Exchange,720,FRWKV,16,0.988746687,0.162282071,0.745339750,0.051164693,parallel_run_20260503_131828
ILI,24,Adaptive PhaseGate,16,1.533932312,0.079182931,0.740123063,0.019689448,parallel_run_20260509_134027
ILI,24,FullContextDelta,16,1.532681250,0.088572249,0.742040688,0.023171908,parallel_run_20260508_212616
ILI,24,CrossBranchPhaseGate,16,1.508343000,0.063125864,0.733417750,0.016393840,parallel_run_20260503_131828
ILI,24,CrossBranchGate,16,1.490984562,0.116891991,0.731714750,0.029483467,parallel_run_20260503_131828
ILI,24,FRWKV,16,1.479429875,0.061067578,0.730900688,0.015692023,parallel_run_20260503_131828
ILI,36,Adaptive PhaseGate,16,1.518012625,0.110213411,0.743346375,0.024807262,parallel_run_20260509_134027
ILI,36,FullContextDelta,16,1.519684063,0.084685598,0.747307250,0.022351608,parallel_run_20260508_212616
ILI,36,CrossBranchPhaseGate,16,1.565968000,0.113479833,0.758183562,0.028970057,parallel_run_20260503_131828
ILI,36,CrossBranchGate,16,1.565781813,0.083895157,0.755822500,0.019959064,parallel_run_20260503_131828
ILI,36,FRWKV,16,1.555126313,0.130498306,0.753047250,0.027671205,parallel_run_20260503_131828
ILI,48,Adaptive PhaseGate,16,1.860514688,0.052327857,0.822853250,0.013109928,parallel_run_20260509_134027
ILI,48,FullContextDelta,16,1.839568500,0.037271048,0.815718625,0.010082805,parallel_run_20260508_212616
ILI,48,CrossBranchPhaseGate,16,1.826360000,0.050292610,0.815754063,0.012568232,parallel_run_20260503_131828
ILI,48,CrossBranchGate,16,1.819728250,0.036655495,0.811281313,0.010932489,parallel_run_20260503_131828
ILI,48,FRWKV,16,1.849820250,0.033902185,0.819549500,0.009166523,parallel_run_20260503_131828
ILI,60,Adaptive PhaseGate,16,1.673812750,0.041361554,0.796737875,0.012123177,parallel_run_20260509_134027
ILI,60,FullContextDelta,16,1.672178125,0.021417092,0.795898125,0.008190575,parallel_run_20260508_212616
ILI,60,CrossBranchPhaseGate,16,1.674672625,0.034026556,0.795774250,0.010254739,parallel_run_20260503_131828
ILI,60,CrossBranchGate,16,1.672873813,0.027851237,0.795409562,0.007267544,parallel_run_20260503_131828
ILI,60,FRWKV,16,1.688559750,0.021923718,0.799736375,0.007023543,parallel_run_20260503_131828
