dataset,horizon,model,display_label,seed,mse,mae,run_id,source_file,source_kind,model_type,model_tag,config_name,selection_rule,candidate_count
ETTm1,336,CrossBranchPhaseGate,CrossBranchPhaseGate,2039,0.388184,0.389498,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm1_pl336_seed2039.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm1_pl336_seed2039,,best_single_run_by_mse_then_mae,32
ETTm1,720,Ours(selected),Ours(selected),2025,0.452379,0.426739,parallel_run_20260416_115318,experiment_runner/parallel_run_20260416_115318/status/ettm1_pl720_pp144_r8_a0.10_b-2.0_es8_el2.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,ettm1_pl720_pp144_r8_a0.10_b-2.0_es8_el2,,selected_system_audit_exact,1
ETTm1,720,FRWKV,FRWKV,2025,0.453812,0.427153,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm1_pl720_seed2025.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm1_pl720_seed2025,,best_single_run_by_mse_then_mae,32
ETTm1,720,CrossBranchGate,CrossBranchGate,2032,0.454216,0.427359,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm1_pl720_seed2032.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm1_pl720_seed2032,,best_single_run_by_mse_then_mae,32
ETTm1,720,CrossBranchPhaseGate,CrossBranchPhaseGate,2026,0.453759,0.428833,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm1_pl720_seed2026.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm1_pl720_seed2026,,best_single_run_by_mse_then_mae,32
ETTm2,96,Ours(selected),Ours(selected),2024,0.170719,0.249356,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl96_seed2024.json,selected_system_audit,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm2_pl96_seed2024,,selected_system_audit_exact,1
ETTm2,96,FRWKV,FRWKV,2034,0.169811,0.248530,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm2_pl96_seed2034.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm2_pl96_seed2034,,best_single_run_by_mse_then_mae,32
ETTm2,96,CrossBranchGate,CrossBranchGate,2035,0.170652,0.248331,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl96_seed2035.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm2_pl96_seed2035,,best_single_run_by_mse_then_mae,34
ETTm2,96,CrossBranchPhaseGate,CrossBranchPhaseGate,2035,0.169214,0.248667,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm2_pl96_seed2035.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm2_pl96_seed2035,,best_single_run_by_mse_then_mae,32
ETTm2,192,Ours(selected),Ours(selected),2025,0.233051,0.290963,parallel_run_20260408_222932,experiment_runner/parallel_run_20260408_222932/logs/overnight_ETTm2_pl192_pp24_r2_a0.02_b-3.0.log,selected_system_audit,frwkv_crossbranchphasegate_adaptive,overnight_phasegate_ettm2_pl192_pp24_r2_a0.02_b-3.0_seed2025,,selected_system_audit_exact,1
